,Date,TSLA,WL-MART,AMZN,MSFOT,VISA,AAPL,GOOGL,NTFLX,JP-MORGN,NVDA
136,21-02-2018,67.206001,95.110001,74.25,92.980003,122.050003,43.2075,55.323502000000005,282.070007,115.0,62.922501000000004
137,22-02-2018,67.106003,91.43,74.76799799999999,92.050003,120.66999799999999,42.950001,55.809502,283.880005,115.5,60.682499
138,23-02-2018,69.566002,92.879997,74.766998,93.599998,121.57,43.4175,55.632,281.0,115.309998,61.142502
139,26-02-2018,70.699997,92.900002,75.459999,94.400002,123.58000200000001,44.087502,56.389998999999996,288.75,118.139999,61.950001
140,27-02-2018,71.25,93.629997,76.224998,95.739998,124.699997,44.775002,57.062,294.769989,118.910004,61.375
141,28-02-2018,70.514,92.0,75.975502,94.839996,123.650002,44.814999,56.151501,293.100006,117.82,61.625
142,01-03-2018,69.001999,90.16999799999999,75.68,93.989998,123.260002,44.634997999999996,55.393501,292.75,115.480003,60.477501000000004
143,02-03-2018,65.396004,87.269997,73.45500200000001,91.58000200000001,119.089996,43.200001,52.653999,284.649994,112.389999,56.965
144,05-03-2018,66.477997,88.139999,74.711998,92.339996,120.449997,43.802502000000004,53.757,302.850006,112.050003,58.627499
145,06-03-2018,66.75,90.349998,76.660004,94.339996,122.83000200000001,44.477501000000004,54.960999,319.880005,115.639999,59.775002
146,07-03-2018,65.087997,87.980003,76.32599599999999,93.160004,120.029999,43.735001000000004,54.459499,320.0,113.75,59.5
147,08-03-2018,66.571999,87.769997,77.5,94.269997,121.959999,43.869999,55.765999,322.200012,115.110001,60.737499
148,09-03-2018,64.82,88.239998,78.175003,95.290001,123.25,44.490002000000004,56.799999,321.329987,116.550003,60.775002
149,12-03-2018,65.722,88.699997,79.629997,96.5,124.75,45.072497999999996,58.192501,333.559998,118.0,61.75
150,13-03-2018,65.722,88.389999,80.797997,97.0,124.25,45.647498999999996,58.5,323.869995,118.199997,62.872501
151,14-03-2018,67.351997,88.510002,79.849998,95.120003,124.040001,45.080002,57.260502,318.160004,116.559998,62.362499
152,15-03-2018,65.875999,87.68,79.75,93.529999,123.129997,44.625,57.498001,323.170013,115.870003,62.322497999999996
153,16-03-2018,64.585999,87.720001,79.172501,94.68,123.849998,44.662498,57.707001,321.420013,115.339996,62.5
154,19-03-2018,63.299999,88.910004,77.726501,93.739998,123.940002,44.330002,56.0005,315.799988,115.099998,62.044998
155,20-03-2018,62.973999,87.860001,77.516998,93.050003,123.379997,43.810001,54.950001,313.26001,114.870003,60.279999
156,21-03-2018,62.049999,87.889999,79.322502,92.93,124.900002,43.759997999999996,54.637001,316.350006,114.809998,62.330002
157,22-03-2018,62.778,87.529999,78.273499,91.269997,122.199997,42.5,54.094002,313.070007,113.199997,61.5
158,23-03-2018,62.25,87.349998,76.9505,89.5,119.889999,42.0975,52.351501,307.410004,110.269997,60.599998
159,26-03-2018,61.467999,86.220001,76.5,90.610001,119.089996,42.017502,52.299999,309.359985,109.190002,59.5
160,27-03-2018,60.799999,87.959999,78.620003,94.940002,121.519997,43.419998,53.150002,322.48999,111.07,61.9375
161,28-03-2018,52.916000000000004,86.260002,72.349998,89.82,116.93,41.8125,49.900002,298.390015,108.279999,56.032501
162,29-03-2018,51.298,87.900002,70.300003,90.18,117.68,41.952498999999996,50.581501,287.0,108.5,56.0275
163,02-04-2018,51.251999,88.0,70.880997,90.470001,119.269997,41.66,51.140999,291.940002,109.959999,57.185001
164,03-04-2018,53.964001,86.25,69.569,89.58000200000001,118.889999,41.91,50.695499,285.450012,108.360001,56.950001
165,04-04-2018,50.556000000000004,85.599998,67.912003,87.849998,116.900002,41.220001,49.670502,273.630005,107.099998,53.752499
166,05-04-2018,57.868,87.599998,72.099503,92.440002,121.0,43.145,52.066502,293.149994,111.629997,57.150002
167,06-04-2018,60.200001,86.83000200000001,71.498497,91.489998,120.18,42.7425,51.0,289.100006,110.550003,54.307499
168,09-04-2018,60.074001,86.849998,71.251503,91.040001,118.629997,42.470001,50.84,291.769989,110.010002,54.200001
169,10-04-2018,59.793999,86.839996,71.599503,92.389999,120.559998,43.25,51.321999,297.679993,112.129997,56.18
170,11-04-2018,60.147999,86.0,71.972,92.010002,119.989998,43.057499,51.399502000000005,302.880005,111.660004,56.827498999999996
171,12-04-2018,60.464001,86.190002,71.974998,92.43,120.400002,43.352501000000004,51.251999,309.72000099999997,111.559998,57.5
172,13-04-2018,60.720001,85.889999,72.457001,94.050003,121.730003,43.695,52.043999,317.290009,115.019997,59.2925
173,16-04-2018,59.799999,86.199997,72.25,94.07,122.110001,43.7575,51.849998,315.98999,110.940002,57.942501
174,17-04-2018,57.773998,87.480003,73.114998,95.0,122.910004,44.122501,52.568501,329.660004,111.370003,58.400002
175,18-04-2018,58.216,88.199997,75.73249799999999,96.220001,124.059998,44.452498999999996,53.871497999999995,336.299988,110.529999,58.875
176,19-04-2018,58.216,87.410004,77.16100300000001,96.440002,124.309998,43.439999,53.470001,332.880005,109.529999,57.9375
177,20-04-2018,59.034,87.870003,78.059998,95.910004,124.059998,42.650002,54.099998,332.22000099999997,112.300003,57.172501000000004
178,23-04-2018,58.257999,86.889999,77.334503,95.739998,124.300003,41.7075,53.893002,329.149994,111.57,57.357498
179,24-04-2018,57.0,86.769997,76.790001,96.239998,124.870003,41.4175,52.599998,319.22000099999997,111.75,56.23
180,25-04-2018,56.700001,86.32,72.900002,93.300003,121.139999,40.654999,51.276001,306.369995,110.269997,55.0
181,26-04-2018,55.75,87.16999799999999,74.250504,93.550003,125.139999,41.029999,51.475497999999995,310.0,109.970001,55.799999
182,27-04-2018,57.074001,87.870003,81.7005,97.599998,126.440002,41.0,52.299999,316.25,109.550003,57.375
183,30-04-2018,58.722,87.940002,79.125,96.33000200000001,126.739998,40.532501,51.5005,311.070007,109.75,56.747501
184,01-05-2018,58.702,87.66999799999999,78.16100300000001,93.209999,126.860001,41.602501000000004,50.682999,310.359985,108.449997,56.142502
185,02-05-2018,59.714001,87.129997,79.04900400000001,94.989998,127.879997,43.807499,51.404999,311.649994,108.110001,56.75
186,03-05-2018,55.757999,86.190002,78.000504,92.959999,125.809998,43.970001,50.950001,312.589996,107.589996,56.900002
187,04-05-2018,56.599998,86.0,78.122498,93.32,126.33000200000001,44.5625,50.845001,308.709991,106.43,57.9575
188,07-05-2018,59.5,87.489998,79.467003,95.16999799999999,128.399994,46.294998,52.461498,321.98999,108.760002,60.822497999999996
189,08-05-2018,60.16,85.519997,79.75,95.849998,129.139999,46.247501,52.926998,325.899994,109.529999,62.172501000000004
190,09-05-2018,60.082001,82.559998,80.0,96.010002,130.009995,46.637501,52.904999,328.790009,111.440002,62.802502000000004
191,10-05-2018,61.5,82.639999,80.42400400000001,97.459999,131.28999299999998,46.935001,54.301497999999995,331.5,113.190002,64.480003
192,11-05-2018,61.540001000000004,82.690002,80.5495,97.800003,131.0,47.372501,54.68,329.649994,114.489998,63.195
193,14-05-2018,60.664001,83.889999,80.199997,97.91999799999999,132.429993,47.252499,55.0,327.25,114.110001,64.01750200000001
